Variable,Importance
nom_culture_mais,0.22547996
nom_culture_sorgho,0.17863241
nom_culture_niebe,0.16396236
nom_culture_mil,0.120837614
nom_culture_arachide,0.06528003
nom_culture_riz,0.049326643
sexe_exploitant_Féminin,0.034714885
type_semence_améliorées pour la 3ème année,0.022376647
sexe_exploitant_Masculin,0.021842696
interaction_surface_semence,0.020165524
semence_par_ha,0.018765887
type_semence_locales,0.016849933
type_semence_améliorées pour la 1ère année,0.015233401
ha_culture,0.014950809
age_exploitant,0.013198442
type_semence_améliorées pour la 2ème année,0.009659255
type_semence_améliorées. âge inconnu,0.008723502
